feature,importance
top_company_mean_revenue,0.0940037442650399
top_company_max_revenue,0.07762434261599961
budget_x_company_mean,0.06479570813820672
budget_x_popularity,0.04934551531463009
budget_x_runtime,0.03571207810074366
budget_x_year,0.034300886849986084
budget_squared,0.0317546712432974
company_revenue_to_budget_ratio,0.031085883253825358
budget_per_crew,0.027048773523424097
log_budget,0.026979520710375248
budget_sqrt,0.024895649710470872
popularity_x_runtime,0.023939129087308313
popularity_squared,0.021243800006679057
budget_per_minute,0.02062636004281886
budget,0.02058528779146659
popularity_x_year,0.01933439828530628
popularity_cubed,0.018946055953541763
top_company_movie_count,0.018935926258161342
popularity_sqrt,0.018602412129189047
log_popularity,0.017847475694117567
budget_per_cast,0.017678541204543197
popularity,0.017435124031978236
years_since_2000,0.016320574383677747
popularity_per_cast,0.016238510310062487
release_year,0.015267110519618276
runtime,0.015082778939098734
budget_popularity_ratio,0.01304138832039924
release_dayofyear,0.010917052917376019
top_production_company,0.010272636470683256
overview_word_count,0.009894926579305406
tagline_length,0.0095090979807983
release_day,0.00947247145798135
overview_length,0.009092678163827616
top_genre,0.008957036885852197
title_length,0.008801204965030535
second_genre,0.008231778472008915
production_companies_count,0.008133483282470943
keywords_count,0.0077236443562024104
release_month,0.00722508545196352
budget_cubed,0.007058697168695071
popularity_x_has_collection,0.006291481052956068
release_dayofweek,0.005775535224127118
original_language,0.004906745773569586
top_actor_mean_revenue,0.004830908069403065
top_actor_max_revenue,0.004762619809690281
title_word_count,0.004577759460820724
genres_count,0.004260556029954782
release_quarter,0.0038837136457918644
budget_x_has_collection,0.003814563269837657
spoken_languages_count,0.003468600858907109
actor_revenue_to_budget_ratio,0.003385746287173543
production_countries_count,0.0033705581584647327
has_collection,0.003359960160683617
top3_actors_mean_revenue,0.0033060887361671194
cast_gender_2_count,0.0030146380420141296
is_major_studio,0.0028395685390284614
cast_count,0.002759418305158792
is_21st_century,0.002207988161822398
top_actor_movie_count,0.0021721265346072174
cast_gender_1_count,0.0020949997830010053
is_usa_production,0.001622518815767019
cast_gender_0_count,0.0014546132338976614
is_action,0.0014351438282410845
budget_x_cast_count,0.0014208769993316816
budget_x_actor_mean,0.0013954531389157063
top_actor,0.0013019417669256359
is_summer,0.001228828139976216
is_adventure,0.0012055791303283209
is_holiday_season,0.0010929255954226487
director_mean_revenue,0.0010611852436234292
is_spring,0.0009891779367753408
director_max_revenue,0.0009745101668490122
director_revenue_to_budget_ratio,0.000934347087265089
director_movie_count,0.0008578858522800047
is_science_fiction,0.0007643308575967662
is_fantasy,0.0007493868283184945
crew_count,0.0007069686644701333
director,0.00047092571353642295
is_animation,0.00044072449456460794
writer_count,0.00040109824939864845
budget_x_director_mean,0.00023725326064699207
status,0.00015755956322700094
producer_count,5.174869330156128e-05
